"Individual name","Song name","Syllable Number","Time Step","Frame Length","Maximum frequency","Windowing Method","Dynamic Range","Dynamic Equalization","Echo Tail","Echo Reduction",dy,Length,"Peak frequency Mean","Mean frequency Mean","Median frequency Mean","Fundamental frequency Mean","Peak frequency change Mean","Mean frequency change Mean","Median frequency change Mean","Fundamental frequency change Mean","Harmonicity Mean","Wiener entropy Mean","Frequency bandwidth Mean","Vibrato asymmetry Mean","Within-syllable gap","Between-syllable gap","Syllable repetitions per phrase",
R01_M_A,R01_20260614_011000_4_M,1,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,796.5,763.6609669009626,1075.9237011899077,967.4217868528817,532.5134028945142,-5.634626105075894E-4,-5.634626105075894E-4,-5.634626105075894E-4,-0.0018667644631615533,0.5878325390163204,167.811998062407,2038.0988949459474,13.45910626385669,26.5,24.5,true,
R01_M_A,R01_20260614_011000_4_M,1,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,1028.0,901.7937963792222,1270.9744462661117,1089.8975565681042,682.0523528108099,-6.748555300956963E-4,-6.748555300956963E-4,-6.748555300956963E-4,-0.003096970131178834,0.6267287474088409,159.4354908044501,2754.530870170164,17.3510747185261,53.0,2.0,false,
R01_M_A,R01_20260614_011000_4_M,2,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,565.0,625.5281374227031,880.8729561137035,844.9460171376592,382.9744529782185,-4.5206969091948236E-4,-4.5206969091948236E-4,-4.5206969091948236E-4,-6.365587951442728E-4,0.5489363306237998,176.18850532036393,1321.6669197217313,9.56713780918728,0.0,47.0,false,
R01_M_A,R01_20260614_011000_4_M,2,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,804.0,791.0016719028565,1103.9651757950548,973.6751889583479,447.4059739823506,1.770002457811086E-4,1.770002457811086E-4,1.770002457811086E-4,0.001035790674045391,0.5531539252208197,164.9704718534158,2237.0799095501397,11.173762167094768,1.0,43.5,true,
R01_M_A,R01_20260614_011000_4_M,1,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,1040.0,909.8192420372596,1320.8525862827498,1082.8770454201265,552.3260402438411,2.4038566389518335E-4,2.4038566389518335E-4,2.4038566389518335E-4,-4.1254325742977915E-5,0.567599959686928,153.99147423153556,3153.330547626202,12.902884615384615,2.0,51.0,false,
R01_M_A,R01_20260614_011000_4_M,2,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,568.0,672.1841017684534,887.07776530736,864.4733324965692,342.4859077208601,1.1361482766703385E-4,1.1361482766703385E-4,1.1361482766703385E-4,0.00211283567383376,0.5387078907547116,175.94946947529607,1320.8292714740774,9.44463971880492,0.0,36.0,false,
R01_M_A,R01_20260614_011000_4_M,3,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,855.5,743.7345464758655,1032.430615408125,976.0425599709224,507.04711264464356,-5.503385423570752E-4,-5.503385423570752E-4,-5.503385423570752E-4,-0.0019684541831679657,0.5800528032025007,168.51044196542827,1824.9464874746232,17.86869647402631,-7.0,27.75,true,
R01_M_A,R01_20260614_011000_4_M,1,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,1086.0,888.2543989621144,1157.0817796917088,1113.8245506758008,620.4478342738655,-0.001119510272810889,-0.001119510272810889,-0.001119510272810889,-0.0025545600472384414,0.6106096727633427,165.74620136112054,1969.4087809097095,26.374773139745916,-14.0,32.0,false,
R01_M_A,R01_20260614_011000_4_M,2,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,625.0,599.2146939896166,907.7794511245412,838.2605692660442,393.64639101542156,1.8833188096738713E-5,1.8833188096738713E-5,1.8833188096738713E-5,-0.0013823483190974904,0.5494959336416589,171.274682569736,1680.4841940395368,9.36261980830671,0.0,23.5,false,
R01_M_A,R01_20260614_011000_4_M,4,1.0,5.0,8000,0,50.0,0.0,50,0.0,43.06640625,920.5,678.4821946550123,1070.8439983114679,958.2244600905094,507.70310788190966,-4.8511343132187455E-4,-4.8511343132187455E-4,-4.8511343132187455E-4,-1.2412319844299412E-4,0.5916104084151714,165.7813647889547,1988.29942759901,30.442432814710042,1.0,33.5,true,
